X;Y;amenageur;operateur;enseigne;idstation;station;adstation;codeinsee;Xlongitude;Ylatitude;nbrepdc;idpdc;puissmax;typeprise;accesrecharge;accessibilité;observations;date_maj
6.9134951;43.6075791005412;CAPG;Sodetrel;WiiiZ;FR*A16*P*WIIZ*20*_*_*_;FR*A16*P*WIIZ*20*_*_*_ - Auribeau-sur-Siagne Parking du Bayle;;06007;6.9134951;43.6075791005412;2;;;type2,typee;Payant;24/7;node/5961207654;2020/03/01
6.9203581;43.6564596005406;CAPG;Sodetrel;WiiiZ;FR*A16*P*WIIZ*21*_*_*_;FR*A16*P*WIIZ*21*_*_*_ - Grasse Parking Place du Cours Honoré Cresp;;06069;6.9203581;43.6564596005406;2;;;type2,typee;Payant;24/7;node/6087059477;2020/03/01
6.958667;43.6422190005408;CAPG;Sodetrel;WiiiZ;FR*A16*P*WIIZ*22*_*_*_;FR*A16*P*WIIZ*22*_*_*_ - Grasse Parking Place Ste Hélène;;06069;6.958667;43.6422190005408;2;;;type2,typee;Payant;24/7;node/6087059590;2020/03/01
6.8422845;43.6294160005409;CAPG;Sodetrel;WiiiZ;FR*A16*P*WIIZ*23*_*_*_;FR*A16*P*WIIZ*23*_*_*_ - Le Tignet Parking Mairie;;06140;6.8422845;43.6294160005409;2;;;type2,typee;Payant;24/7;node/6087059473;2020/03/01
6.856883;43.6480150005407;CAPG;Sodetrel;WiiiZ;FR*A16*P*WIIZ*25*_*_*_;Spéracèdes Parking Mairie;;06137;6.856883;43.6480150005407;2;;;type2,typee;Payant;24/7;node/6087059589;2020/03/01
6.793374;43.7289440005395;CAPG;Sodetrel;WiiiZ;FR*A16*P*WIIZ*28*_*_*_;Escragnolles Parking Salle des Fêtes;;06058;6.793374;43.7289440005395;2;;;type2,typee;Payant;24/7;node/7254858132;2020/03/01
6.858089;43.8432130005372;CAPG;Sodetrel;WiiiZ;FR*A16*P*WIIZ*29*_*_*_;Le Mas Parking couvert;;06081;6.858089;43.8432130005372;2;;;type2,typee;Payant;24/7;node/7254858135;2020/03/01
6.92641;43.5941300005413;CAPG;Sodetrel;WiiiZ;FR*A16*P*WIIZ*3*_*_*_;FR*A16*P*WIIZ*3*_*_*_ - Pégomas Parking Parchois;;06090;6.92641;43.5941300005413;2;;;type2,typee;Payant;24/7;node/6087059591;2020/03/01
6.728566;43.8469318005371;CAPG;Sodetrel;WiiiZ;FR*A16*P*WIIZ*30*_*_*_;;;06116;6.728566;43.8469318005371;2;;;type2,typee;Payant;24/7;node/7314613924;2020/03/21
6.703947;43.7738450005387;CAPG;Sodetrel;WiiiZ;FR*A16*P*WIIZ*31*_*_*_;;;06134;6.703947;43.7738450005387;2;;;type2,typee;Payant;24/7;node/7314613926;2020/03/21
6.8079594;43.7995442005382;CAPG;Sodetrel;WiiiZ;FR*A16*P*WIIZ*34*_*_*_;Andon Lac de Thorenc;;06003;6.8079594;43.7995442005382;2;;;type2,typee;Payant;24/7;node/7254858134;2020/03/01
6.7310675;43.7790900005386;CAPG;Sodetrel;WiiiZ;FR*A16*P*WIIZ*35*_*_*_;;;06028;6.7310675;43.7790900005386;2;;;type2,typee;Payant;24/7;node/7314613925;2020/03/21
6.926369;43.6540630005406;CAPG;Sodetrel;WiiiZ;FR*A16*P*WIIZ*60*_*_*_;FR*A16*P*WIIZ*60*_*_*_ - Grasse Parking Gare SNCF;;06069;6.926369;43.6540630005406;2;;;type2,typee;Payant;24/7;node/6087059472;2020/03/01
6.92296;43.6512110005407;CAPG;Sodetrel;WiiiZ;FR*A16*P*WIIZ*61*_*_*_;FR*A16*P*WIIZ*61*_*_*_ - Grasse Parking Square des Diables Bleus;;06069;6.92296;43.6512110005407;2;;;type2,typee;Payant;24/7;node/6087059586;2020/03/01
6.944208;43.6540760005406;CAPG;Sodetrel;WiiiZ;FR*A16*P*WIIZ*62*_*_*_;FR*A16*P*WIIZ*62*_*_*_ - Grasse Parking Giratoire du Moulin de Brun;;06069;6.944208;43.6540760005406;2;;;type2,typee;Payant;24/7;node/6087059588;2020/03/01
6.922162;43.6556920005406;CAPG;Sodetrel;WiiiZ;FR*A16*P*WIIZ*63*_*_*_;FR*A16*P*WIIZ*63*_*_*_ - Grasse Parking Avenue Carnot;;06069;6.922162;43.6556920005406;2;;;type2,typee;Payant;24/7;node/6087059480;2020/03/01
6.911085;43.6391030005408;CAPG;Sodetrel;WiiiZ;FR*A16*P*WIIZ*64*_*_*_;FR*A16*P*WIIZ*64*_*_*_ - Grasse Parking la Chesnaie;;06069;6.911085;43.6391030005408;2;;;type2,typee;Payant;24/7;node/5991567583;2020/03/01
6.9361435;43.6412045005408;CAPG;Sodetrel;WiiiZ;FR*A16*P*WIIZ*65*_*_*_;FR*A16*P*WIIZ*65*_*_*_ - Grasse Parking Alambic;;06069;6.9361435;43.6412045005408;2;;;type2,typee;Payant;24/7;node/6070651577;2020/03/01
6.973192;43.620225000541;CAPG;Sodetrel;WiiiZ;FR*A16*P*WIIZ*66*_*_*_;FR*A16*P*WIIZ*66*_*_*_ - Mouans-Sartoux Parking de la Gare;;06084;6.973192;43.620225000541;2;;;type2,typee;Payant;24/7;node/6087059476;2020/03/14
